stock_id,last_close,book_value,highest_52w,lowest_52w,pe,eps,roa,roe,beta,avg_vol_13w,on_bal_vol_ratio,volume,cap_market
HKB,2.1,10.2,6.9,2.1,1.6,1277,9%,12%,2.22,436421,2.32%,51599999,108
IMP,62.9,32.5,71.0,53.0,23,2731,7%,8%,0.07,16621,0.10%,42978151,2703
IN4,70,22.1,76.8,46.2,44.8,1564,8%,26%,0,6,0%,1200000,84
INC,13.2,14.9,14.6,5,12.8,1030,5%,7%,0.15,79,0.01%,1800000,24
INN,61,32.2,79,56.1,9.1,6734,13%,21%,0.23,8492,0.17%,10800000,659
IPA,16,18.7,25,8.3,6.7,2386,7%,13%,0,3452,0.01%,89098248,1426
CVC,10.5,0,10.5,10.5,0,0,1%,2%,0,0,0%,2200000,23
CVH,12.6,0,12.6,12.6,0,0,8%,10%,0,0,0%,1280000,16
CVN,7.4,23.3,8,2.5,6.2,1188,3%,5%,0.07,51463,1.32%,8250000,61
CVT,49.7,19.0,56.8,33.5,8.1,6131,14%,33%,0.19,596904,5.08%,28223903,1403
CX8,10,0,10,7.2,25.7,389,1%,3%,0.19,785,0.08%,2110586,21
CXH,8,0,11,8,0,0,1%,3%,0,30,0%,1639460,13
CYC,1.7,6.5,3.3,1.6,8.8,194,1%,3%,0.76,1597,0.16%,9046425,3
DVH,8.7,8.4,10.8,7.4,6.6,1320,16%,22%,0,0,0%,11000000,96
DVN,17.3,10.7,28.6,14.5,17.8,972,4%,10%,0,1073568,2.44%,237000000,4100
DVP,61.8,24.4,72.8,59.5,8.6,7186,26%,29%,0.06,2311,0.01%,40000000,2472
DXG,36.8,15.4,39.8,15.0,14.9,2477,11%,23%,0.90,4249891,8.88%,303134686,11157
DXL,2.7,11.1,2.7,2.1,0.7,4005,1%,4%,0,1,0%,2957900,8
DXP,14,12.8,15.4,11,15.1,928,7%,7%,0.05,6320,0.06%,25987027,364
DXV,4.1,12.4,5,3.6,6.9,597,4%,5%,0.49,1569,0.03%,9900000,41
DID,4.1,11.4,6.6,4.1,18.9,217,1%,2%,0.04,146,0%,8000000,33
DIG,23.9,11.7,28.5,8.8,65.3,366,2%,3%,0.54,4702419,10.68%,238194819,5693
DIH,12.3,18.0,13.5,9.0,15.1,817,1%,5%,0.45,6224,0.43%,2890842,37
DL1,41.8,10.4,68,4.9,261.2,160,1%,2%,0.02,6060,0.02%,101177353,4229
GDW,14.2,14.9,21.3,11.8,6.3,2266,6%,9%,0,828,0.02%,9500000,135
GEG,13.5,14.3,16.1,10.8,7.9,1710,14%,18%,0,14143,0.05%,97091275,1311
GER,4.1,12.2,9.1,0.9,0,0,5%,9%,0,88,0.01%,2200000,9
GEX,37.8,23.6,39.8,18.8,13,2905,9%,21%,1.06,1396321,3.04%,266800000,10072
GGG,0.6,0,0.8,0.5,0,0,15%,18%,2.77,5405,0.12%,9635456,6
GGS,10,9.3,10,10,3333.3,3,0%,0%,0,0,0%,10200000,102
GHC,35.9,8.3,36.2,27.3,12.8,2800,28%,34%,0,2803,0.03%,41000000,736
DCF,7.2,0,11.7,5.2,0,0,5%,8%,0,1076,0.05%,4880530,35
DCI,12,0,57,11,0,0,2%,4%,0,92,0.01%,2412518,29
DCL,18.2,12.9,25.7,18.2,13.9,1307,6%,10%,0.68,112923,0.56%,56832824,1034
IRC,12.6,0,12.6,12.6,0,0,0%,0%,0,0,0%,0,0
ISG,1.9,36.3,2.9,1.9,0.6,3204,4%,9%,0,741,0.02%,8800000,17
ISH,13,12.1,16.3,9.7,7.9,1647,9%,14%,0,5394,0.03%,45000000,585
IST,16.3,12.4,17.2,11.2,5.6,2897,10%,23%,0,340,0.01%,12008672,196
ITA,2.7,11.0,4.9,2.8,50.7,54,0%,1%,0.64,2611436,4.29%,937883609,2571
ITC,17.5,23.0,17.5,12.7,15.1,1158,2%,5%,0.09,80425,0.35%,68646328,1209
ITD,10.8,14.3,25.5,9.8,7.6,1414,10%,15%,0.31,57168,0.68%,22875876,205
